Year,Proj,Proj Name,Date,Format,Engr Est,Low Bid,Var,Result,Bids,Loc,Qtr,LD,Lead,Typeology,Second Bid
2019,GWB-934.046,Flag Hoist System Upgrade,2/7/19,SBE,1130000,1686000,0.492035398,FAIL,2,NJ,1,TB&T,Z,Infra,2181000
2019,LGA-124.270,Replace West Field Lighting Vault Emergency Generator,2/7/19,SBE,684000,615000,-0.100877193,GOOD,5,NY,1,Avi,Z,Infra,685924
2019,MFP-994.679,NJ - Maintenance Dredging via Work Order,2/5/19,PQL,13910000,11745510,-0.155606758,GOOD,4,NJ,1,Ports,Z,Infra,13320000
2019,GWB-244.260,Main Span Upper Level Struct Stl Rehab (Phase 2) & Appurtenances,1/31/19,Public,92495500,63348000,-0.315123438,FAIL,3,Both,1,TB&T,Z,Infra,70399000
2019,EWR-154.306A,Rehab of Runway 11-29,1/24/19,Public,23450000,25644000,0.093560768,GOOD,2,NJ,1,Avi,Z,Paving,30867117
2019,GWB-244.236,Intelligent Transportation System Repl Signs and Field Devices,1/23/19,Public,28219450,27620150,-0.021237125,GOOD,6,Both,1,TB&T,Z,Infra,31594000
2019,JFK-174.016,Bridges J31 & J32 Rehab - Aqueduct Road,1/10/19,Public,4500000,4863085,0.080685556,GOOD,6,NY,1,Avi,Z,Infra,6192655
2019,EWR-154.360,Bldg 76 Underground Storage Tank Repl,1/3/19,SBE,426000,745850,0.750821596,FAIL,2,NJ,1,Avi,Z,Building,745850
2018,TEB-144.055,"Rehab of Taxiways G, L and P",12/18/18,Public,10250000,8275000,-0.192682927,FAIL,3,NJ,4,Avi,Z,Paving,9111636
2018,PAT-774.176,HCMF-Replace Track Slab and Rehab of Parking Lots & Roads,12/7/18,Public,5000000,4380000,-0.124,GOOD,4,NJ,4,PATH,Z,Paving,5145491
2018,PAT-214.013,JSQ - Public Restroom Rehabilitation,12/6/18,SBE,1500000,2546000,0.697333333,FAIL,3,NJ,4,PATH,Z,Building,4300000
2018,EWR-154.386,Term A Redev - Airside Utilities and Paving South phase 2,12/4/18,Public,122920000,119769038,-0.02563425,GOOD,2,NJ,4,Avi,Z,Infra,124507320
2018,LGA-124.269,Hangar 7S Drainage Rehabilitation,12/4/18,SBE,448000,432222,-0.03521875,GOOD,6,NY,4,Avi,Z,Infra,512625
2018,LGA-124.268,Patrol Road Drainage Rehabilitation,11/29/18,SBE,287000,369034,0.285832753,FAIL,5,NY,4,Avi,Z,Infra,398950
2018,EWR-154.299,Repl CHIRP North Electric Substation and Chiller Upgrades,11/15/18,Public,12570000,9714000,-0.227207637,FAIL,4,NJ,4,Avi,Z,Infra,9820000
2018,JFK-164.020,Reconstruct Runway 13L-31R and Associated Taxiways,11/9/18,Public,186355200,152100000,-0.183816711,FAIL,3,NY,4,Avi,Z,Paving,155330252
2018,LGA-924.120,Runway Instrument Landing & Approach Lighting Pier Repairs,11/8/18,Public,784000,968530,0.235369898,FAIL,3,NY,4,Avi,Z,Infra,970600
2018,PAT-024.200,Upgrade of Fire Supression System,11/8/18,Public,9720000,7666000,-0.211316872,FAIL,4,Both,4,PATH,Z,Building,8195000
2018,HT-224.125,NY Emergency Garage Bldg - Parapet Repairs and Roof Replacement,11/6/18,SBE,2215000,1984098,-0.104244695,GOOD,4,NY,4,TB&T,Z,Building,2311622
2018,PAT-774.174,Grove Street Headhouse Permanent Flood Protection,11/1/18,Public,9650000,9200000,-0.046632124,GOOD,1,NJ,4,PATH,Z,Building,9200000
2018,PAT-784.175,Extend C-Yard Rail Bridge over Waldo Tunnel Portal,10/31/18,Public,6500000,4149491,-0.361616769,FAIL,8,NJ,4,PATH,Z,Infra,4860440
2018,PAT-630,South Street Compressor Upgrade,10/24/18,Public,2971000,2384000,-0.197576574,GOOD,2,NJ,4,PATH,Z,Infra,4199000
2018,BT-254.153,Partial South Wing 3rd Flr Wearing Course and Waterproof Membrane,10/18/18,Public,7950000,6875775,-0.135122642,GOOD,2,NY,4,TB&T,Z,Paving,8027025
2018,JFK-174.017,Replacement of 86 Pad Substation,10/16/18,Public,3800000,3781700,-0.004815789,GOOD,8,NY,4,Avi,Z,Infra,4026180
2018,GWB-924.168,Rock Slope Priority Repairs,10/9/18,Public,1130000,1383700,0.224513274,FAIL,4,NJ,4,TB&T,Z,Infra,1529500
2018,PAT-784.169,Exchange Place and Newport Head House Flood Protection,10/3/18,Public,21700000,15765000,-0.273502304,GOOD,5,NJ,4,PATH,Z,Building,18669580
2018,GWB-244.204A,Rehab Center and Lemoine Avenue Bridges,9/25/18,Public,64356250,51485000,-0.2,GOOD,8,NJ,3,TB&T,Z,Infra,70400000
2018,EWR-154.348,Airtrain Station P4 Elev Shaft Glass Replacement,9/25/18,SBE,760000,994150,0.308092105,FAIL,3,NJ,3,Avi,Z,Building,1449000
2018,PAT-024.203,Redundant Fluid Cooler at PATH Train Control Center,9/20/18,SBE,1700000,1560315,-0.082167647,GOOD,2,NJ,3,PATH,Z,Building,3851000
2018,PAT-784.162,Hoboken Flood Resiliency,9/13/18,Public,5960000,6956000,0.167114094,FAIL,4,NJ,3,PATH,Z,Building,8447200
2018,SWF-164.032,Terminal Expansion - Federal Inspection Services Facility,9/7/18,Public,17920000,21068000,0.175669643,FAIL,2,NY,3,Avi,Z,Building,24477000
2018,LT-944.096B,Replacement of Aboveground Storage Tanks,8/28/18,Public,2500000,2952000,0.1808,FAIL,3,NY,3,TB&T,Z,Infra,3234700
2018,LT-924.183,South Tube Pavement Fine Milling,8/14/18,SBE,1300000,695800,-0.464769231,FAIL,2,Both,3,TB&T,Z,Paving,1419200
2018,GWB-244.049,Trans-Manhattan Expressway Median Barriers and Water Mains,8/7/18,Public,54744000,34776250,-0.364747735,GOOD,4,NY,3,TB&T,Z,Infra,48040040
2018,PN-654.562A,Bldg 267 Roof Collapse Repair,8/2/18,SBE,1980000,2882170,0.455641414,FAIL,6,NJ,3,Ports,Z,Building,2991000
2018,MFA-924.454,EWR and TEB - Asphalt Repairs via Work Order,7/30/18,PQL,9350000,6855365,-0.266805882,GOOD,3,NJ,3,Avi,Z,Paving,11420920
2018,LGA-124.260,Rehab of Runway 4-22 and Associated Taxiways,7/18/18,PQL,34796400,34483510,-0.008992022,GOOD,2,NY,3,Avi,Z,Paving,36459000
2018,HT-224.082,Repl Bulkhead Doors in Ventilation Buildings,7/18/18,Public,3570000,3861000,0.081512605,GOOD,6,Both,3,TB&T,Z,Building,4779000
2018,EWR-154.308 bafo,Rehabilitation of Taxiway S,7/6/18,PQL,3730000,4547000,0.219034853,FAIL,3,NJ,3,Avi,Z,Paving,4649000
2018,PAT-774.170,Repl Exchange Place and Newport Escalators and Elevators,6/13/18,Public,38600000,35950000,-0.06865285,GOOD,2,NJ,2,PATH,Z,Building,43894000
2018,MFP-694.514,NY and NJ Marine Terminals - CCTV Upgrade and Expansion (Port Newark and Brooklyn),6/8/18,VVP,2770000,2542996,-0.081950903,GOOD,6,Both,2,Ports,Z,Infra,3396000
2018,PAT-024.099,Exchange Place Substation #4 Roof Replacement,5/31/18,Public,1567000,918315,-0.413966177,GOOD,5,NJ,2,PATH,Z,Building,2147450
2018,EWR-154.395,"Bridges N61, 62, 63, At-Grade Roadways and Appurtenances",5/30/18,Public,153277500,118434757,-0.227318054,FAIL,13,NJ,2,Avi,Z,Infra,123456789
2018,MFP-924.650,NY Marine Terminals - Maintenance Dredging via Work Order,5/10/18,Public,4390000,4220000,-0.038724374,GOOD,4,NY,2,Ports,Z,Infra,5305000
2018,LT-924.121,Steel Repairs at 38th St Bridge and Concrete Repairs at NY Vent Bldg South,5/1/18,SBE,960000,413834,-0.568922917,FAIL,5,NY,2,TB&T,Z,Infra,615185
2018,PAT-774.169,Replace Elevators at Harrison Car Maintenance Facility,4/5/18,Public,1520000,856934,-0.436227632,GOOD,4,NJ,2,PATH,M,Building,1593000
2018,MFP-824.016,NY Marine Terminals Priority Repairs by Work Order,4/3/18,Public,9140000,4659626,-0.490194092,GOOD,5,NY,2,Ports,S,Paving,9983390
2018,TEB-144.046,Removal of Taxiway B and Construction of Taxiway V,4/3/18,Public,3441000,2993080,-0.130171462,GOOD,3,NJ,2,Avi,C,Paving,3769000
2018,LGA-124.261,Rehab of Pump House 1 Retaining Wall,3/20/18,Public,1440000,1928000,0.338888889,FAIL,7,NY,1,Avi,S,Infra,2160125
2018,AKO-284.051,Main Spain Pier and Fender Upgrades,3/20/18,Public,27125000,22964560,-0.153380276,GOOD,10,Both,1,TB&T,S,Infra,25742285
2018,AKO-284.049,Tollhouse Building Roof,3/15/18,Public,1150000,1253317,0.08984087,GOOD,6,NY,1,TB&T,A,Building,1415318
2018,LT-924.175,Helix Guiderail Repair and Manhole Cover Relocation,3/14/18,MWBE,600000,749000,0.248333333,FAIL,3,NJ,1,TB&T,C,Infra,888000
2018,EWR-154.396,Bridge N64 and Hotel Road Widening,3/9/18,Public,10900000,10417536,-0.044262752,GOOD,11,NJ,1,Avi,C,Infra,10424000
2018,PAT-784.172,Hoboken Station Elevator Flood Resiliency,3/8/18,Public,1600000,1948000,0.2175,FAIL,2,NJ,1,PATH,A,Building,2759000
2018,EWR-924.231,Priority and Safety Repairs,3/1/18,Public,1273000,1050950,-0.174430479,GOOD,6,NJ,1,Avi,S,Infra,1249893
2018,JFK-184.010,"Replace Control Tower Roofs, HVAC Equipment and Curtain Wall Repairs",2/16/18,Public,23100000,16848000,-0.270649351,GOOD,6,NY,1,Avi,A,Building,18987000
2018,LGA-124.264,Rehab of Runway Decks Wearing Course (Epoxy Stage 3),2/8/18,PQL,10590000,9125000,-0.138338055,FAIL,2,NY,1,Avi,C,Paving,9832834
2018,GWB-244.265,Pedestrian Safety Fencing on NJ Approach Parapets,2/7/18,MWBE,1056000,619790,-0.413077652,GOOD,6,NJ,1,TB&T,S,Infra,931795
2018,LGA-774.264,Flood Protection at the West End Substation,1/25/18,Public,1700000,1555555,-0.084967647,GOOD,9,NY,1,Avi,G,Building,1647000
2018,HH-634.514,Howland Hook Upgrade of Pavement Subgrade,1/24/18,Public,22000000,19988889,-0.091414136,GOOD,13,NY,1,Ports,G,Paving,22332146
2018,PAT-924.802,Fire Alarm System Upgrade,1/18/18,VVP,26900000,24990000,-0.071003717,GOOD,2,Both,1,PATH,E,Building,45044000
2018,PAT-650,Tunnels E and F Infrastructure Repairs,1/10/18,PQL,200000000,108511400,-0.457443,FAIL,5,Both,1,PATH,E,Infra,112537000
2018,GWB-244.267,TME Hydrant and Water Main Rehabilitation,1/8/18,PQL,8520000,6850075,-0.196000587,GOOD,5,NY,1,TB&T,C,Infra,8226915
2017,GWB-244.261,Rehab of Low Voltage Power Systems,12/19/17,MWBE,795000,353700,-0.55509434,GOOD,8,Both,4,TB&T,E,Infra,568000
2017,TEB-144.056,Rehabilitation of Sewage Pumps,12/14/17,MWBE,979000,1168000,0.193054137,FAIL,2,NJ,4,Avi,M,Infra,1736000
2017,LGA-924.287,Airside Asphalt Paving Repairs via Work Order,12/14/17,PQL,4872000,3997350,-0.179525862,GOOD,5,NY,4,Avi,C,Paving,4763300
2017,EWR-154.263,Terminal B Satellite B2 Sterile Corridor Glass Door Replacement,12/5/17,Public,1530000,1189000,-0.222875817,GOOD,3,NJ,4,Avi,A,Infra,2100000
2017,JFK-144.023,AOA Light Circuit Replacement,12/5/17,Public,38000000,28470000,-0.250789474,GOOD,4,NY,4,Avi,E,Infra,33693128
2017,EWR-154.235,"Rehab CTA Entrance and Bridges N1, N2, N5, N6",11/29/17,Public,6600000,5189333,-0.213737424,GOOD,7,NJ,4,Avi,S,Infra,5512686
2017,LT-234.193,Latent Salt Damage Repairs,11/15/17,Public,1350000,2629000,0.947407407,FAIL,1,Both,4,TB&T,E,Infra,2629000
2017,BT-254.085,Internal Structural Enhancements (Column Hardening),11/14/17,VVP,17250000,22616488,0.311100754,FAIL,4,NY,4,TB&T,S,Infra,26253000
2017,EWR-154.247,Terminal B Automated Passport System Kiosks,11/14/17,MWBE,820000,861500,0.050609756,GOOD,4,NJ,4,Avi,E,Building,877300
2017,PJ-654.502,Greenville Yard phase 2,11/9/17,Public,4860000,3418000,-0.296707819,GOOD,8,NJ,4,Ports,C,Infra,3675999
2017,EWR-154.383,Terminal A Redev - Airside Paving and Utilities South phase 1,11/8/17,PQL,26900000,26600000,-0.011152416,GOOD,3,NJ,4,Avi,C,Paving,29473711
2017,LT-234.194,Flood Protection for Ventilation Bldgs and Emergency Generators,11/8/17,Public,1650000,2278990,0.381206061,FAIL,5,Both,4,TB&T,G,Building,2656000
2017,PAT-534.316A,JSQ Transportation Center - Hardening Phase 2,10/26/17,VVP,2194000,1361078,-0.379636281,FAIL,6,NJ,4,PATH,C,Infra,1488028
2017,JFK-154.021,Airside Switchgear Replacement,10/17/17,Public,2800000,2847000,0.016785714,GOOD,9,NY,4,Avi,E,Infra,3047960
2017,EWR-154.254,"Rehab of Terminal Frontage Bridges - Ph1 - Bridge N18, N20 Pier Caps",10/17/17,Public,3000000,2812500,-0.0625,GOOD,2,NJ,4,Avi,S,Infra,4151000
2017,EWR-924.384,"Bus Canopy B1, C1 and Gas Island Improvements and Roofing",10/5/17,Public,970000,1285000,0.324742268,FAIL,6,NJ,4,Avi,A,Building,1541500
2017,HT-924.144,"Heat Tracing and Insulation in Discharge Pipes, N&S Tubes",9/28/17,MWBE,609000,579300,-0.048768473,GOOD,4,Both,3,TB&T,E,Infra,1699000
2017,HT-924.106,Replace Missing Tiles at Walls and Ceiling,9/27/17,Public,1250000,1068000,-0.1456,GOOD,6,Both,3,TB&T,A,Infra,2672000
2017,GWB-244.042,"Replacement of 178/179 St Ramps, Bus Ramps and Bus Turnaround",9/26/17,PQL,189900000,154487000,-0.186482359,GOOD,5,NY,3,TB&T,S,Infra,175788235
2017,BP-694.510,Brooklyn Pier 10 Concrete Girder Repairs,9/21/17,Public,1250000,876947,-0.2984424,GOOD,13,NY,3,Ports,S,Infra,1053180
2017,MF-924.022,LT and GWB - Rock Slope Priority Repairs,9/19/17,Public,1326000,1976491,0.490566365,FAIL,4,NJ,3,TB&T,G,Infra,4197700
2017,EWR-251,Rehab of Taxiway Z from Runway 11 Edge to UA,8/17/17,PQL,8500000,5682000,-0.331529412,FAIL,3,NJ,3,Avi,C,Paving,5778887
2017,LGA-154.251,Rehab of Runway Deck Structural Elements phase 3,8/4/17,Public,6040000,4845475,-0.19776904,GOOD,8,NY,3,Avi,S,Infra,5177075
2017,MFP-924.662,NJ Marine Terminals - Maintenance Dredging via Work Order,8/3/17,PQL,13720000,11539200,-0.158950437,GOOD,4,NJ,3,Ports,G,Infra,14401250
2017,JFK-1070,Landside Asphalt Repairs via Work Ouder,8/2/17,Public,1650000,1320718,-0.199564848,GOOD,4,NY,3,Avi,C,Paving,1454175
2017,JFK-154.024,Backflow Prevention & Water Meters Phase 4,8/1/17,Public,1330000,936000,-0.296240602,GOOD,6,NY,3,Avi,M,Infra,1097450
2017,HT-224.120,Rehabilitation of Bronze Doors at Spring Street,7/26/17,Public,700000,614770,-0.121757143,GOOD,2,NY,3,TB&T,A,Building,838700
2017,LGA-124.244,AOA Light Circuit Replacement,7/25/17,Public,7200000,1936000,-0.731111111,FAIL,4,NY,3,Avi,E,Infra,4483190
2017,PAT-024.002,Exchange Place Underwater Netting,6/27/17,PQL,1480000,1483000,0.002027027,GOOD,7,NJ,2,PATH,G,Infra,1764407
2017,EWR-154.240,Meeter-Greeter Queuing Area Modifications,6/15/17,MWBE,850000,887000,0.043529412,GOOD,3,NJ,2,Avi,A,Building,992000
2017,EWR-154.227,Terminal B CCTV at Baggage Areas,6/14/17,VVP,2900000,1157000,-0.601034483,FAIL,5,NJ,2,Avi,E,Building,1179765
2017,LGA-774.235,Emergency Generators at Various Locations,6/8/17,VVP,6445000,7166666,0.111973002,FAIL,11,NY,2,Avi,E,Building,7536916
2017,EWR-154.271,Central Heating and Refrigeration Plant South Substation Roof Replacement,6/7/17,MWBE,650000,865508,0.331550769,FAIL,3,NJ,2,Avi,A,Building,895220
2017,EWR-154.264,Rehab CTA Frontage Bridges N18 and N20 Longitudinal Joints,6/7/17,MWBE,1070000,758000,-0.291588785,FAIL,5,NJ,2,Avi,S,Infra,789000
2017,GWB-924.159B,NJ Admin Bldg HW/CW Piping Replacement,6/6/17,Public,771000,946600,0.227756161,FAIL,2,NJ,2,TB&T,M,Building,1151712
2017,EWR-924.233,"Priority Repair of Bridges N14, N15, N18, N19, N21, N42, N43",5/31/17,Public,1140000,904780,-0.206333333,GOOD,9,NJ,2,Avi,S,Infra,942757
2017,JFK-154.019,Install Gate/Check Valves for Exist Stormwater Outfalls 2-3-4-5-6,5/25/17,Public,2850000,1808548,-0.365421754,FAIL,11,NY,2,Avi,C,Infra,1922775
2017,PAT-024.031,Replacement of Substation 7,5/18/17,VVP,29400000,40981000,0.393911565,FAIL,2,NJ,2,PATH,A,Building,45417000
2017,MFP-924.641,NY & NJ Marine Terminals - Multi-Facility Fender System Rehab via WO,5/17/17,Public,5000000,5210665,0.042133,GOOD,9,Both,2,Ports,S,Infra,6078068
2017,EP-924.643,Priority Marine Rehab via Work Order,5/16/17,Public,9000000,10805265,0.200585,FAIL,2,NJ,2,Ports,S,Infra,15298075
2017,LT-234.179,Waterside Buffer Zone Protection,4/26/17,PQL,3589000,3875045,0.079700474,GOOD,3,NY,2,TB&T,S,Infra,4090800
2017,GWB-924.176,Upper Level Sidewalk Repairs via Work Order,4/21/17,Public,2060000,2614625,0.269235437,FAIL,5,Both,2,TB&T,S,Paving,2847400
2017,MFP-924.645A,NJ Paving and Utility Rehab by Work Order,4/20/17,MWBE,2625000,2472675,-0.058028571,GOOD,6,NJ,2,Ports,C,Paving,2533850
2017,PN-654.558,"Berths 26, 28, 32, 34 Dredging",4/20/17,Public,1520000,994200,-0.345921053,GOOD,4,NJ,2,Ports,G,Infra,1248000
2017,TEB-144.048,AOA Light Circuit Replacement,4/20/17,PQL,12630000,10849023,-0.141011639,GOOD,2,NJ,2,Avi,E,Infra,16000000
2017,PAT-084.001,Replacement of Substation 9,4/19/17,PQL,30360000,32920674,0.084343676,GOOD,3,NJ,2,PATH,A,Building,43958640
2017,EWR-154.234,AOA Light Circuit Replacement,4/19/17,PQL,18870000,19910000,0.055113937,GOOD,3,NJ,2,Avi,E,Infra,20782135
2017,MFP-924.634,NY Marine Terminals - Rail Rehab via Work Order,4/6/17,Public,1655000,1398667,-0.154883988,GOOD,3,NY,2,Ports,C,Infra,1551460
2017,BT-254.123,PABT Supplemental Fire Alarm Systems,3/29/17,Public,3700000,2490000,-0.327027027,GOOD,7,NY,1,TB&T,E,Building,3185420
2017,LGA-124.255,Rehab of Runway 22 Deck Wearing Course Panel 1A,3/21/17,PQL,3750000,2468147,-0.341827467,FAIL,3,NY,1,Avi,C,Paving,2475475
2017,MFP-072.016,NY Marine Terminals - Paving and Utilities by Work Order,3/16/17,MWBE,1425000,1087425,-0.236894737,GOOD,6,NY,1,Ports,C,Paving,1668410
2017,GWB-244.263,Replacement of Automatic Transfer Switches,2/23/17,MWBE,240000,97300,-0.594583333,FAIL,6,NJ,1,TB&T,E,Infra,142000
2017,GWB-244.048,Replacement of Suspender Ropes and Rehab of Main Cables & Strands,2/23/17,PQL,479900000,451841280,-0.058467847,GOOD,5,Both,1,TB&T,S,Infra,479645000
2017,LGA-124.250,"Rehab Taxiways B, AA, BB, and Associated Taxiways",2/21/17,PQL,10393000,7903950,-0.239492928,FAIL,3,NY,1,Avi,C,Paving,9176000
2017,TEB-144.045,Storm Drainage System Rehab Phase 1,2/14/17,Public,2580000,1386000,-0.462790698,GOOD,16,NJ,1,Avi,C,Infra,1707400
2017,EWR-924.375,Peripheral Ditch Containment Boom Anchor Walls,2/8/17,Public,970000,756482,-0.220121649,GOOD,9,NJ,1,Avi,S,Infra,792963
2017,GWB-924.170,Maintenance Pavement Repairs via Work Order,2/7/17,PQL,1965000,1450000,-0.262086514,GOOD,6,Both,1,TB&T,C,Paving,2280000
2017,JFK-124.009,"Bldg 14 Roof Replacement, East Wing",2/2/17,Public,4800000,3901193,-0.187251458,GOOD,14,NY,1,Avi,A,Building,3980000
2017,JFK-154.022,Vehicle Gates Security Upgrade,1/30/17,VVP,6500000,5987000,-0.078923077,GOOD,5,NY,1,Avi,C,Infra,6682950
2017,LGA-103.015,Pump House 6 Substation,1/26/17,Public,5100000,4640176,-0.090161569,GOOD,7,NY,1,Avi,E,Infra,4702400
2017,EWR-154.392,"Terminal A Redev - Bridges N57, N58, N59 and Utilities ",1/24/17,PQL,69800000,67107000,-0.038581662,GOOD,9,NJ,1,Avi,C,Infra,67536474
2017,HT-924.089,NJ Service Building 1 and 2 Priority Repairs,1/18/17,MWBE,1410000,1399756,-0.007265248,GOOD,3,NJ,1,TB&T,A,Building,2393720
2017,MFP-924.644,NJ Marine Terminals Railroad Rehab via Work Order,1/17/17,Public,4200000,3987114,-0.050687143,GOOD,3,NJ,1,Ports,C,Infra,4217900
2017,JFK-1067,Asphalt Pavement Repairs via Work Order,1/11/17,PQL,12071025,9977777,-0.173410957,FAIL,3,NY,1,Avi,C,Paving,10436923
2017,JFK-124.016,"Rehab Taxiway Q, QG and Restricted Vehicle Service Road",1/4/17,PQL,28695000,31768035,0.107093048,GOOD,2,NY,1,Avi,C,Paving,34831050
2016,PAT-084.039,Event Detection Systems for Tunnels E and F,12/27/16,PQL,18500000,15978000,-0.136324324,GOOD,2,Both,4,PATH,Z,Infra,19475000
2016,EWR-924.288,Fuel Farm Roadway Drainage Improvements,12/21/16,MWBE,600000,421111,-0.298148333,GOOD,8,NJ,4,Avi,Z,Infra,463700
2016,PN-654.551,Tyler Street Pavement Rehab,12/15/16,MWBE,1460000,1457020,-0.002041096,GOOD,7,NJ,4,Ports,Z,Paving,1461533
2016,PJ-664.503,Greenville Yard Phase 1,12/14/16,Public,61900000,47681062,-0.229708207,GOOD,7,NJ,4,Ports,Z,Infra,52950000
2016,LGA-124.236,Wetland Mitigation at Westchester Creek,12/8/16,Public,2170000,1903225,-0.122937788,GOOD,5,NY,4,Avi,Z,Infra,2179670
2016,SWF-017,Asphalt and Concrete Repairs via Work Order,11/29/16,Public,1763000,2233850,0.267073171,FAIL,2,NY,4,Avi,Z,Paving,2754705
