"","Q","Proj","Proj.Name","Date","Format","Engr.Est","Low.Bid","Var","Result","Bids","Loc","Qtr","LD","Lead","Typeology","Second.Bid","Consumer.price.index","Employment.in.communications","Employment.in.construction","Employment.in.education.and.health","Employment.in.financial.and.business.services","Employment.in.financial.services","Employment.in.government","Employment.in.other.services","Employment.in.production.industries","Employment.in.professional.services","Employment.in.real.estate","Employment.in.retail","Employment.in.transport.services","Employment.in.wholesale","Output.in.communications","Output.in.construction","Output.in.financial.services","Output.in.government","Output.in.retail","Output.in.education.and.health","Output.in.financial.and.business.services","Output.in.other.services","Output.in.production.industries","Output.in.professional.services","Output.in.real.estate","Output.in.transport.services","Output.in.wholesale","Personal.disposable.income..nominal","Personal.disposable.income..real","Personal.income..nominal","Retail.sales..nominal","Retail.sales..real","Total.employment","Total.office.based.employment","Total.output","Total.population","permits","permits_1","cci","Format2","accuracy","quantile","bal","quantile_1","quantile_2","quantile_3","quantile_4","quantile_5","n.bidders"
"11","2015-Q2","PAT-643-Work Order No. 2","Path-Tunnels E&F Temporary Event detection Systems (TEDS)",2015-04-14,"Other",521000,1840000,2.531669866,"FAIL",3,"Both",2,"PATH","Z","Infra",1840000,260.36,274.6349,340.2549,1677.252,2161.926,549.8766,1194.775,1195.202,339.4585,1422.188,189.8612,870.8953,324.0663,401.1779,32623.61,9690.083,60937.42,30189.85,16158.21,30592.22,174773,19995.72,15495.74,54499.78,59335.79,13618.77,23273.89,256008.6,248296.5,308350.7,71230.83,74279.39,8779.643,2161.926,365783.7,18371.72,54098,38139,9975,"Other",3.53166986564299,"2",1319000,0,1,0,0,0,"'2-3"
"12","2015-Q2","TEB-914.203","Teterboro Airport-Installation of Fencing to Mitigate Wildlife Hazards",2015-04-21,"Public",735000,512568,-0.302628571,"GOOD",9,"NJ",2,"Avi","Z","Infra",537725.67,260.36,274.6349,340.2549,1677.252,2161.926,549.8766,1194.775,1195.202,339.4585,1422.188,189.8612,870.8953,324.0663,401.1779,32623.61,9690.083,60937.42,30189.85,16158.21,30592.22,174773,19995.72,15495.74,54499.78,59335.79,13618.77,23273.89,256008.6,248296.5,308350.7,71230.83,74279.39,8779.643,2161.926,365783.7,18371.72,54098,38139,9975,"Public",0.731599551020408,"1",-197274.33,1,0,0,0,0,"'6+"
"13","2015-Q2","GWB-924.044","George Washington Bridge-Electrical Bus Replacement ",2015-05-18,"M/WBE",830000,1650000,0.987951807,"FAIL",1,"Both",2,"TB&T","Z","Infra",1650000,260.36,274.6349,340.2549,1677.252,2161.926,549.8766,1194.775,1195.202,339.4585,1422.188,189.8612,870.8953,324.0663,401.1779,32623.61,9690.083,60937.42,30189.85,16158.21,30592.22,174773,19995.72,15495.74,54499.78,59335.79,13618.77,23273.89,256008.6,248296.5,308350.7,71230.83,74279.39,8779.643,2161.926,365783.7,18371.72,54098,38139,9975,"Other",1.98795180722892,"2",820000,0,1,0,0,0,"'1"
"14","2015-Q2","SWF-164.031A","Stewart International-Passenger Loading Bridges Pressurization Fans",2015-05-19,"Public",1263000,930000,-0.263657957,"FAIL",1,"NY",2,"Avi","Z","Infra",930000,260.36,274.6349,340.2549,1677.252,2161.926,549.8766,1194.775,1195.202,339.4585,1422.188,189.8612,870.8953,324.0663,401.1779,32623.61,9690.083,60937.42,30189.85,16158.21,30592.22,174773,19995.72,15495.74,54499.78,59335.79,13618.77,23273.89,256008.6,248296.5,308350.7,71230.83,74279.39,8779.643,2161.926,365783.7,18371.72,54098,38139,9975,"Public",0.736342042755344,"1",-333000,1,0,0,0,0,"'1"
"15","2015-Q2","PAT-131.000","Path-Hackensack River Bridge Emergency Generator Fuel Tank",2015-05-20,"Public",3340000,4538160,0.358730539,"FAIL",3,"NJ",2,"PATH","Z","Infra",5887300,260.36,274.6349,340.2549,1677.252,2161.926,549.8766,1194.775,1195.202,339.4585,1422.188,189.8612,870.8953,324.0663,401.1779,32623.61,9690.083,60937.42,30189.85,16158.21,30592.22,174773,19995.72,15495.74,54499.78,59335.79,13618.77,23273.89,256008.6,248296.5,308350.7,71230.83,74279.39,8779.643,2161.926,365783.7,18371.72,54098,38139,9975,"Public",1.76266467065868,"4",2547300,0,0,0,1,0,"'2-3"
"16","2015-Q2","JFK-914.209","John F. Kennedy International Airport-Former Hangar 12 Site-West Area Lighting",2015-05-21,"M/WBE",1550000,2333333.33,0.505376342,"FAIL",2,"NY",2,"Avi","Z","Building",3640000,260.36,274.6349,340.2549,1677.252,2161.926,549.8766,1194.775,1195.202,339.4585,1422.188,189.8612,870.8953,324.0663,401.1779,32623.61,9690.083,60937.42,30189.85,16158.21,30592.22,174773,19995.72,15495.74,54499.78,59335.79,13618.77,23273.89,256008.6,248296.5,308350.7,71230.83,74279.39,8779.643,2161.926,365783.7,18371.72,54098,38139,9975,"Other",2.34838709677419,"3",2090000,0,0,1,0,0,"'2-3"
"17","2015-Q2","PN-654.545","Port Newark Berth 19 Wharf Restoration",2015-05-21,"Public",6400000,5777000,-0.09734375,"GOOD",7,"NJ",2,"Ports","Z","Infra",6527495,260.36,274.6349,340.2549,1677.252,2161.926,549.8766,1194.775,1195.202,339.4585,1422.188,189.8612,870.8953,324.0663,401.1779,32623.61,9690.083,60937.42,30189.85,16158.21,30592.22,174773,19995.72,15495.74,54499.78,59335.79,13618.77,23273.89,256008.6,248296.5,308350.7,71230.83,74279.39,8779.643,2161.926,365783.7,18371.72,54098,38139,9975,"Public",1.01992109375,"4",127495,0,0,0,1,0,"'6+"
"18","2015-Q2","NYNJRR-644.531","NY and NJ Rail - Transfer Bridge #10 Reconstruction and Fender Modifications at 65th St Yard, Brooklyn",2015-06-02,"Public",29100000,30452500,0.046477663,"GOOD",11,"NJ",2,"Ports","Z","Infra",31281100,260.36,274.6349,340.2549,1677.252,2161.926,549.8766,1194.775,1195.202,339.4585,1422.188,189.8612,870.8953,324.0663,401.1779,32623.61,9690.083,60937.42,30189.85,16158.21,30592.22,174773,19995.72,15495.74,54499.78,59335.79,13618.77,23273.89,256008.6,248296.5,308350.7,71230.83,74279.39,8779.643,2161.926,365783.7,18371.72,54098,38139,9975,"Public",1.07495189003436,"5",2181100,0,0,0,0,1,"'6+"
"19","2015-Q2","MFP-924.623","New York Marine Terminals-Paving and Utility Rehabilitation Via Work Order",2015-06-04,"Public",1600000,1298005,-0.188746875,"GOOD",6,"NY",2,"Ports","Z","Paving",1346150,260.36,274.6349,340.2549,1677.252,2161.926,549.8766,1194.775,1195.202,339.4585,1422.188,189.8612,870.8953,324.0663,401.1779,32623.61,9690.083,60937.42,30189.85,16158.21,30592.22,174773,19995.72,15495.74,54499.78,59335.79,13618.77,23273.89,256008.6,248296.5,308350.7,71230.83,74279.39,8779.643,2161.926,365783.7,18371.72,54098,38139,9975,"Public",0.84134375,"1",-253850,1,0,0,0,0,"'6+"
"20","2015-Q2","GWB-244.240","George Washington Bridge-Lower Level Priority Steel and Concrete Prepairs, Rehabilitation of Catwalks and Plaintenace Platform Travelers",2015-06-22,"Public",6500000,6374800,-0.019261538,"GOOD",7,"Both",2,"TB&T","Z","Infra",7497000,260.36,274.6349,340.2549,1677.252,2161.926,549.8766,1194.775,1195.202,339.4585,1422.188,189.8612,870.8953,324.0663,401.1779,32623.61,9690.083,60937.42,30189.85,16158.21,30592.22,174773,19995.72,15495.74,54499.78,59335.79,13618.77,23273.89,256008.6,248296.5,308350.7,71230.83,74279.39,8779.643,2161.926,365783.7,18371.72,54098,38139,9975,"Public",1.15338461538462,"4",997000,0,0,0,1,0,"'6+"
"21","2015-Q2","LT-924.014","Lincoln Tunnel-Water Leak Repairs",2015-06-23,"Public",1800000,2217200,0.231777778,"FAIL",2,"Both",2,"TB&T","Z","Infra",2698000,260.36,274.6349,340.2549,1677.252,2161.926,549.8766,1194.775,1195.202,339.4585,1422.188,189.8612,870.8953,324.0663,401.1779,32623.61,9690.083,60937.42,30189.85,16158.21,30592.22,174773,19995.72,15495.74,54499.78,59335.79,13618.77,23273.89,256008.6,248296.5,308350.7,71230.83,74279.39,8779.643,2161.926,365783.7,18371.72,54098,38139,9975,"Public",1.49888888888889,"3",898000,0,0,1,0,0,"'2-3"
"22","2015-Q3","EWR-154.239","Newark Liberty International Airport- Rehabilitation of Expansion Joints of Bridges N3, N9, N13, N17, N19 and N29, and Structural Elements",2015-07-28,"Public",1918000,1389000,-0.275808133,"GOOD",12,"NJ",3,"Avi","Z","Infra",1737000,261.0556,274.7305,344.0031,1688.223,2173.735,551.078,1201.195,1205.824,340.1158,1430.029,192.6279,869.6093,327.1491,401.3416,34128.02,9779.01,57138.81,30235.59,16123.1,30775.95,171768.7,20121.99,15984.1,55007.1,59622.75,13924.58,23219.02,259925.5,251342.2,312354.9,72445.11,75748.3,8825.927,2173.735,365181.6,18384.75,48731,54098,10039,"Public",0.90563086548488,"2",-181000,0,1,0,0,0,"'6+"
"23","2015-Q3","EWR-924.175A","Newark Liberty International Airport-Building No. 105 Roof Replacement",2015-08-18,"M/WBE",354000,396811,0.120935028,"FAIL",3,"NJ",3,"Avi","Z","Building",607000,261.0556,274.7305,344.0031,1688.223,2173.735,551.078,1201.195,1205.824,340.1158,1430.029,192.6279,869.6093,327.1491,401.3416,34128.02,9779.01,57138.81,30235.59,16123.1,30775.95,171768.7,20121.99,15984.1,55007.1,59622.75,13924.58,23219.02,259925.5,251342.2,312354.9,72445.11,75748.3,8825.927,2173.735,365181.6,18384.75,48731,54098,10039,"Other",1.71468926553672,"1",253000,1,0,0,0,0,"'2-3"
"24","2015-Q3","LGA-124.229","LaGuardia Airport - Watch Engineer's Office Relocation",2015-08-27,"Public",1650000,1898000,0.15030303,"FAIL",4,"NY",3,"Avi","Z","Infra",2440000,261.0556,274.7305,344.0031,1688.223,2173.735,551.078,1201.195,1205.824,340.1158,1430.029,192.6279,869.6093,327.1491,401.3416,34128.02,9779.01,57138.81,30235.59,16123.1,30775.95,171768.7,20121.99,15984.1,55007.1,59622.75,13924.58,23219.02,259925.5,251342.2,312354.9,72445.11,75748.3,8825.927,2173.735,365181.6,18384.75,48731,54098,10039,"Public",1.47878787878788,"2",790000,0,1,0,0,0,"'4-5"
"25","2015-Q3","EWR-924.320","Newark Liberty International Airport-Terminal 'C' Level 1 Drainage Improvements",2015-09-09,"M/WBE",325000,377777,0.162390769,"FAIL",6,"NJ",3,"Avi","Z","Building",415415,261.0556,274.7305,344.0031,1688.223,2173.735,551.078,1201.195,1205.824,340.1158,1430.029,192.6279,869.6093,327.1491,401.3416,34128.02,9779.01,57138.81,30235.59,16123.1,30775.95,171768.7,20121.99,15984.1,55007.1,59622.75,13924.58,23219.02,259925.5,251342.2,312354.9,72445.11,75748.3,8825.927,2173.735,365181.6,18384.75,48731,54098,10039,"Other",1.2782,"1",90415,1,0,0,0,0,"'6+"
"26","2015-Q3","LGA-124.226","LaGuardia Airport-Hanger 7 South Build Out",2015-09-21,"Public",7900000,6769800,-0.143063291,"GOOD",18,"NY",3,"Avi","Z","Building",8850000,261.0556,274.7305,344.0031,1688.223,2173.735,551.078,1201.195,1205.824,340.1158,1430.029,192.6279,869.6093,327.1491,401.3416,34128.02,9779.01,57138.81,30235.59,16123.1,30775.95,171768.7,20121.99,15984.1,55007.1,59622.75,13924.58,23219.02,259925.5,251342.2,312354.9,72445.11,75748.3,8825.927,2173.735,365181.6,18384.75,48731,54098,10039,"Public",1.12025316455696,"4",950000,0,0,0,1,0,"'6+"
"27","2015-Q3","PN-654.036","Port Newark-Water System Rehabilitation At Central And South Sections",2015-09-30,"Public",7000000,5851111,-0.164127,"GOOD",15,"NJ",3,"Ports","Z","Infra",6789000,261.0556,274.7305,344.0031,1688.223,2173.735,551.078,1201.195,1205.824,340.1158,1430.029,192.6279,869.6093,327.1491,401.3416,34128.02,9779.01,57138.81,30235.59,16123.1,30775.95,171768.7,20121.99,15984.1,55007.1,59622.75,13924.58,23219.02,259925.5,251342.2,312354.9,72445.11,75748.3,8825.927,2173.735,365181.6,18384.75,48731,54098,10039,"Public",0.969857142857143,"4",-211000,0,0,0,1,0,"'6+"
"28","2015-Q4","GWB-244.256","George Washington Bridge-Pavement Rehabilitation of the Lower Level eastbound Approch Roadways, Lower Level Eastbound Bridge Span and Lower Expressway East Ramp",2015-10-07,"Other",7400000,4985882.5,-0.326232095,"FAIL",4,"Both",4,"TB&T","Z","Paving",5169777,261.5219,274.8469,349.937,1707.532,2185.492,553.2074,1200.284,1216.385,340.5725,1439.297,192.9873,866.8924,327.9078,400.6656,34602.5,9762.473,53383.68,30184.85,16179.16,30790.32,167755.8,20051.21,15069.69,55249.84,59122.23,13659.83,23101.44,258601.9,250176,310811.6,71935.7,76297.16,8870.516,2185.492,359764.3,18390.39,48467,48731,10092,"Other",0.698618513513514,"4",-2230223,0,0,0,1,0,"'4-5"
"29","2015-Q4","EWR-154.184","Newark Liberty International Airport-Central Heating & Refirgeration Plant Substation and Pumps Upgrade",2015-10-15,"Public",3650000,3270000,-0.104109589,"GOOD",6,"NJ",4,"Avi","Z","Infra",3654000,261.5219,274.8469,349.937,1707.532,2185.492,553.2074,1200.284,1216.385,340.5725,1439.297,192.9873,866.8924,327.9078,400.6656,34602.5,9762.473,53383.68,30184.85,16179.16,30790.32,167755.8,20051.21,15069.69,55249.84,59122.23,13659.83,23101.44,258601.9,250176,310811.6,71935.7,76297.16,8870.516,2185.492,359764.3,18390.39,48467,48731,10092,"Public",1.00109589041096,"3",4000,0,0,1,0,0,"'6+"
"30","2015-Q4","GWB-924.092","George Washington Bridge-Improvements to Bruce Reynolds Boulevard",2015-10-20,"Public",1290000,1552600,0.203565891,"FAIL",9,"NJ",4,"TB&T","Z","Paving",1557557.5,261.5219,274.8469,349.937,1707.532,2185.492,553.2074,1200.284,1216.385,340.5725,1439.297,192.9873,866.8924,327.9078,400.6656,34602.5,9762.473,53383.68,30184.85,16179.16,30790.32,167755.8,20051.21,15069.69,55249.84,59122.23,13659.83,23101.44,258601.9,250176,310811.6,71935.7,76297.16,8870.516,2185.492,359764.3,18390.39,48467,48731,10092,"Public",1.20740891472868,"2",267557.5,0,1,0,0,0,"'6+"
"31","2015-Q4","GWB-566","George Washington Bridge-Temporary Semac Relocation",2015-10-27,"Public",1340000,1850000,0.380597015,"FAIL",4,"NJ",4,"TB&T","Z","Infra",2174000,261.5219,274.8469,349.937,1707.532,2185.492,553.2074,1200.284,1216.385,340.5725,1439.297,192.9873,866.8924,327.9078,400.6656,34602.5,9762.473,53383.68,30184.85,16179.16,30790.32,167755.8,20051.21,15069.69,55249.84,59122.23,13659.83,23101.44,258601.9,250176,310811.6,71935.7,76297.16,8870.516,2185.492,359764.3,18390.39,48467,48731,10092,"Public",1.62238805970149,"2",834000,0,1,0,0,0,"'4-5"
"32","2015-Q4","HT-224.116","Holland Tunnel-Concrete Repairs at Air Supply Ports",2015-10-30,"Public",7100000,6676400,-0.059661972,"GOOD",11,"Both",4,"TB&T","Z","Infra",8765900,261.5219,274.8469,349.937,1707.532,2185.492,553.2074,1200.284,1216.385,340.5725,1439.297,192.9873,866.8924,327.9078,400.6656,34602.5,9762.473,53383.68,30184.85,16179.16,30790.32,167755.8,20051.21,15069.69,55249.84,59122.23,13659.83,23101.44,258601.9,250176,310811.6,71935.7,76297.16,8870.516,2185.492,359764.3,18390.39,48467,48731,10092,"Public",1.2346338028169,"4",1665900,0,0,0,1,0,"'6+"
"33","2015-Q4","MFA-924.283","Newark Liberty International Airport and Teterboro Airport  Asphalt Concrete Pavement Repairs Via Work Order",2015-11-02,"Other",7055100,5774440,-0.181522586,"FAIL",3,"NJ",4,"Avi","Z","Paving",6387950,261.5219,274.8469,349.937,1707.532,2185.492,553.2074,1200.284,1216.385,340.5725,1439.297,192.9873,866.8924,327.9078,400.6656,34602.5,9762.473,53383.68,30184.85,16179.16,30790.32,167755.8,20051.21,15069.69,55249.84,59122.23,13659.83,23101.44,258601.9,250176,310811.6,71935.7,76297.16,8870.516,2185.492,359764.3,18390.39,48467,48731,10092,"Other",0.905437201457102,"4",-667150,0,0,0,1,0,"'2-3"
"34","2015-Q4","GWB-564","George Washington Bridge-Facility Wide Prioirty Rehabilitation",2015-11-04,"Public",8700000,10162935,0.168153448,"FAIL",3,"Both",4,"TB&T","Z","Infra",10760000,261.5219,274.8469,349.937,1707.532,2185.492,553.2074,1200.284,1216.385,340.5725,1439.297,192.9873,866.8924,327.9078,400.6656,34602.5,9762.473,53383.68,30184.85,16179.16,30790.32,167755.8,20051.21,15069.69,55249.84,59122.23,13659.83,23101.44,258601.9,250176,310811.6,71935.7,76297.16,8870.516,2185.492,359764.3,18390.39,48467,48731,10092,"Public",1.2367816091954,"4",2060000,0,0,0,1,0,"'2-3"
"35","2015-Q4","TP-104.006","Backflow Prevention Devices",2015-11-30,"Public",1200000,1222222,0.018518333,"GOOD",6,"NY",4,"Avi","Z","Infra",1488000,261.5219,274.8469,349.937,1707.532,2185.492,553.2074,1200.284,1216.385,340.5725,1439.297,192.9873,866.8924,327.9078,400.6656,34602.5,9762.473,53383.68,30184.85,16179.16,30790.32,167755.8,20051.21,15069.69,55249.84,59122.23,13659.83,23101.44,258601.9,250176,310811.6,71935.7,76297.16,8870.516,2185.492,359764.3,18390.39,48467,48731,10092,"Public",1.24,"2",288000,0,1,0,0,0,"'6+"
"36","2015-Q4","AK-195","Staten Island Bridges - Maint Pvmt Repairs via WO",2015-12-04,"Other",2000000,2092850,0.046425,"GOOD",4,"NY",4,"TB&T","Z","Paving",2196300,261.5219,274.8469,349.937,1707.532,2185.492,553.2074,1200.284,1216.385,340.5725,1439.297,192.9873,866.8924,327.9078,400.6656,34602.5,9762.473,53383.68,30184.85,16179.16,30790.32,167755.8,20051.21,15069.69,55249.84,59122.23,13659.83,23101.44,258601.9,250176,310811.6,71935.7,76297.16,8870.516,2185.492,359764.3,18390.39,48467,48731,10092,"Other",1.09815,"2",196300,0,1,0,0,0,"'4-5"
"37","2016-Q1","PN-654.041","Port Newark - Davit Street Extension",2016-01-14,"M/WBE",1200000,1050050,-0.124958333,"GOOD",6,"NJ",1,"Ports","Z","Paving",1083107,261.0797,274.2445,355.4697,1720.847,2196.853,553.9073,1202.96,1221.852,341.4254,1448.712,194.234,868.7178,330.6291,400.284,35597.36,10066.59,57464.39,30287.6,16401.32,31439.77,172218.1,20143.12,16242.6,55410.79,59342.93,13614.16,22480.46,264878.3,256109.2,316274.6,72401.41,77987.95,8913.283,2196.853,367091.6,18395.59,43463,48467,10181,"Other",0.902589166666667,"1",-116893,1,0,0,0,0,"'6+"
"38","2016-Q1","WTC-222.004","WTC - Tower One Public Safety Radio Room",2016-01-19,"Other",9000000,8936000,-0.007111111,"GOOD",3,"NY",1,"Sec","Z","Building",9201691,261.0797,274.2445,355.4697,1720.847,2196.853,553.9073,1202.96,1221.852,341.4254,1448.712,194.234,868.7178,330.6291,400.284,35597.36,10066.59,57464.39,30287.6,16401.32,31439.77,172218.1,20143.12,16242.6,55410.79,59342.93,13614.16,22480.46,264878.3,256109.2,316274.6,72401.41,77987.95,8913.283,2196.853,367091.6,18395.59,43463,48467,10181,"Other",1.02241011111111,"4",201691,0,0,0,1,0,"'2-3"
"39","2016-Q1","PN-654.544","Port Newark - Install Intelligent Transport Devices and Traffic Signals",2016-01-20,"Public",10000000,6499990,-0.350001,"FAIL",6,"NJ",1,"Ports","Z","Infra",7138000,261.0797,274.2445,355.4697,1720.847,2196.853,553.9073,1202.96,1221.852,341.4254,1448.712,194.234,868.7178,330.6291,400.284,35597.36,10066.59,57464.39,30287.6,16401.32,31439.77,172218.1,20143.12,16242.6,55410.79,59342.93,13614.16,22480.46,264878.3,256109.2,316274.6,72401.41,77987.95,8913.283,2196.853,367091.6,18395.59,43463,48467,10181,"Public",0.7138,"4",-2862000,0,0,0,1,0,"'6+"
