"","Q","Proj","Proj.Name","Date","Format","Engr.Est","Low.Bid","Var","Result","Bids","Loc","Qtr","LD","Lead","Typeology","Consumer.price.index","Employment.in.communications","Employment.in.construction","Employment.in.education.and.health","Employment.in.financial.and.business.services","Employment.in.financial.services","Employment.in.government","Employment.in.other.services","Employment.in.production.industries","Employment.in.professional.services","Employment.in.real.estate","Employment.in.retail","Employment.in.transport.services","Employment.in.wholesale","Output.in.communications","Output.in.construction","Output.in.financial.services","Output.in.government","Output.in.retail","Output.in.education.and.health","Output.in.financial.and.business.services","Output.in.other.services","Output.in.production.industries","Output.in.professional.services","Output.in.real.estate","Output.in.transport.services","Output.in.wholesale","Personal.disposable.income..nominal","Personal.disposable.income..real","Personal.income..nominal","Retail.sales..nominal","Retail.sales..real","Total.employment","Total.office.based.employment","Total.output","Total.population","permits","permits_1","cci","accuracy","decile"
"11","2015-Q2","PAT-643-Work Order No. 2","Path-Tunnels E&F Temporary Event detection Systems (TEDS)",2015-04-14,"Other",521000,1840000,2.531669866,"FAIL",3,"Both",2,"PATH","Z","Infra",260.36,274.6349,340.2549,1677.252,2161.926,549.8766,1194.775,1195.202,339.4585,1422.188,189.8612,870.8953,324.0663,401.1779,32623.61,9690.083,60937.42,30189.85,16158.21,30592.22,174773,19995.72,15495.74,54499.78,59335.79,13618.77,23273.89,256008.6,248296.5,308350.7,71230.83,74279.39,8779.643,2161.926,365783.7,18371.72,54098,38139,9975,0.283152173913043,"4"
"12","2015-Q2","TEB-914.203","Teterboro Airport-Installation of Fencing to Mitigate Wildlife Hazards",2015-04-21,"Public",735000,512568,-0.302628571,"GOOD",9,"NJ",2,"Avi","Z","Infra",260.36,274.6349,340.2549,1677.252,2161.926,549.8766,1194.775,1195.202,339.4585,1422.188,189.8612,870.8953,324.0663,401.1779,32623.61,9690.083,60937.42,30189.85,16158.21,30592.22,174773,19995.72,15495.74,54499.78,59335.79,13618.77,23273.89,256008.6,248296.5,308350.7,71230.83,74279.39,8779.643,2161.926,365783.7,18371.72,54098,38139,9975,1.43395607997378,"1"
"13","2015-Q2","GWB-924.044","George Washington Bridge-Electrical Bus Replacement ",2015-05-18,"Other",830000,1650000,0.987951807,"FAIL",1,"Both",2,"TB&T","Z","Infra",260.36,274.6349,340.2549,1677.252,2161.926,549.8766,1194.775,1195.202,339.4585,1422.188,189.8612,870.8953,324.0663,401.1779,32623.61,9690.083,60937.42,30189.85,16158.21,30592.22,174773,19995.72,15495.74,54499.78,59335.79,13618.77,23273.89,256008.6,248296.5,308350.7,71230.83,74279.39,8779.643,2161.926,365783.7,18371.72,54098,38139,9975,0.503030303030303,"4"
"14","2015-Q2","SWF-164.031A","Stewart International-Passenger Loading Bridges Pressurization Fans",2015-05-19,"Public",1263000,930000,-0.263657957,"FAIL",1,"NY",2,"Avi","Z","Infra",260.36,274.6349,340.2549,1677.252,2161.926,549.8766,1194.775,1195.202,339.4585,1422.188,189.8612,870.8953,324.0663,401.1779,32623.61,9690.083,60937.42,30189.85,16158.21,30592.22,174773,19995.72,15495.74,54499.78,59335.79,13618.77,23273.89,256008.6,248296.5,308350.7,71230.83,74279.39,8779.643,2161.926,365783.7,18371.72,54098,38139,9975,1.35806451612903,"2"
"15","2015-Q2","PAT-131.000","Path-Hackensack River Bridge Emergency Generator Fuel Tank",2015-05-20,"Public",3340000,4538160,0.358730539,"FAIL",3,"NJ",2,"PATH","Z","Infra",260.36,274.6349,340.2549,1677.252,2161.926,549.8766,1194.775,1195.202,339.4585,1422.188,189.8612,870.8953,324.0663,401.1779,32623.61,9690.083,60937.42,30189.85,16158.21,30592.22,174773,19995.72,15495.74,54499.78,59335.79,13618.77,23273.89,256008.6,248296.5,308350.7,71230.83,74279.39,8779.643,2161.926,365783.7,18371.72,54098,38139,9975,0.735981102473249,"7"
"16","2015-Q2","JFK-914.209","John F. Kennedy International Airport-Former Hangar 12 Site-West Area Lighting",2015-05-21,"Other",1550000,2333333.33,0.505376342,"FAIL",2,"NY",2,"Avi","Z","Building",260.36,274.6349,340.2549,1677.252,2161.926,549.8766,1194.775,1195.202,339.4585,1422.188,189.8612,870.8953,324.0663,401.1779,32623.61,9690.083,60937.42,30189.85,16158.21,30592.22,174773,19995.72,15495.74,54499.78,59335.79,13618.77,23273.89,256008.6,248296.5,308350.7,71230.83,74279.39,8779.643,2161.926,365783.7,18371.72,54098,38139,9975,0.664285715234694,"5"
"17","2015-Q2","PN-654.545","Port Newark Berth 19 Wharf Restoration",2015-05-21,"Public",6400000,5777000,-0.09734375,"GOOD",7,"NJ",2,"Ports","Z","Infra",260.36,274.6349,340.2549,1677.252,2161.926,549.8766,1194.775,1195.202,339.4585,1422.188,189.8612,870.8953,324.0663,401.1779,32623.61,9690.083,60937.42,30189.85,16158.21,30592.22,174773,19995.72,15495.74,54499.78,59335.79,13618.77,23273.89,256008.6,248296.5,308350.7,71230.83,74279.39,8779.643,2161.926,365783.7,18371.72,54098,38139,9975,1.10784144019387,"7"
"18","2015-Q2","NYNJRR-644.531","NY and NJ Rail - Transfer Bridge #10 Reconstruction and Fender Modifications at 65th St Yard, Brooklyn",2015-06-02,"Public",29100000,30452500,0.046477663,"GOOD",11,"NJ",2,"Ports","Z","Infra",260.36,274.6349,340.2549,1677.252,2161.926,549.8766,1194.775,1195.202,339.4585,1422.188,189.8612,870.8953,324.0663,401.1779,32623.61,9690.083,60937.42,30189.85,16158.21,30592.22,174773,19995.72,15495.74,54499.78,59335.79,13618.77,23273.89,256008.6,248296.5,308350.7,71230.83,74279.39,8779.643,2161.926,365783.7,18371.72,54098,38139,9975,0.955586569247188,"9"
"19","2015-Q2","MFP-924.623","New York Marine Terminals-Paving and Utility Rehabilitation Via Work Order",2015-06-04,"Public",1600000,1298005,-0.188746875,"GOOD",6,"NY",2,"Ports","Z","Paving",260.36,274.6349,340.2549,1677.252,2161.926,549.8766,1194.775,1195.202,339.4585,1422.188,189.8612,870.8953,324.0663,401.1779,32623.61,9690.083,60937.42,30189.85,16158.21,30592.22,174773,19995.72,15495.74,54499.78,59335.79,13618.77,23273.89,256008.6,248296.5,308350.7,71230.83,74279.39,8779.643,2161.926,365783.7,18371.72,54098,38139,9975,1.23266089113678,"3"
"20","2015-Q2","GWB-244.240","George Washington Bridge-Lower Level Priority Steel and Concrete Prepairs, Rehabilitation of Catwalks and Plaintenace Platform Travelers",2015-06-22,"Public",6500000,6374800,-0.019261538,"GOOD",7,"Both",2,"TB&T","Z","Infra",260.36,274.6349,340.2549,1677.252,2161.926,549.8766,1194.775,1195.202,339.4585,1422.188,189.8612,870.8953,324.0663,401.1779,32623.61,9690.083,60937.42,30189.85,16158.21,30592.22,174773,19995.72,15495.74,54499.78,59335.79,13618.77,23273.89,256008.6,248296.5,308350.7,71230.83,74279.39,8779.643,2161.926,365783.7,18371.72,54098,38139,9975,1.01963983183786,"8"
"21","2015-Q2","LT-924.014","Lincoln Tunnel-Water Leak Repairs",2015-06-23,"Public",1800000,2217200,0.231777778,"FAIL",2,"Both",2,"TB&T","Z","Infra",260.36,274.6349,340.2549,1677.252,2161.926,549.8766,1194.775,1195.202,339.4585,1422.188,189.8612,870.8953,324.0663,401.1779,32623.61,9690.083,60937.42,30189.85,16158.21,30592.22,174773,19995.72,15495.74,54499.78,59335.79,13618.77,23273.89,256008.6,248296.5,308350.7,71230.83,74279.39,8779.643,2161.926,365783.7,18371.72,54098,38139,9975,0.811834746527151,"5"
"22","2015-Q3","EWR-154.239","Newark Liberty International Airport- Rehabilitation of Expansion Joints of Bridges N3, N9, N13, N17, N19 and N29, and Structural Elements",2015-07-28,"Public",1918000,1389000,-0.275808133,"GOOD",12,"NJ",3,"Avi","Z","Infra",261.0556,274.7305,344.0031,1688.223,2173.735,551.078,1201.195,1205.824,340.1158,1430.029,192.6279,869.6093,327.1491,401.3416,34128.02,9779.01,57138.81,30235.59,16123.1,30775.95,171768.7,20121.99,15984.1,55007.1,59622.75,13924.58,23219.02,259925.5,251342.2,312354.9,72445.11,75748.3,8825.927,2173.735,365181.6,18384.75,48731,54098,10039,1.38084953203744,"3"
"23","2015-Q3","EWR-924.175A","Newark Liberty International Airport-Building No. 105 Roof Replacement",2015-08-18,"Other",354000,396811,0.120935028,"FAIL",3,"NJ",3,"Avi","Z","Building",261.0556,274.7305,344.0031,1688.223,2173.735,551.078,1201.195,1205.824,340.1158,1430.029,192.6279,869.6093,327.1491,401.3416,34128.02,9779.01,57138.81,30235.59,16123.1,30775.95,171768.7,20121.99,15984.1,55007.1,59622.75,13924.58,23219.02,259925.5,251342.2,312354.9,72445.11,75748.3,8825.927,2173.735,365181.6,18384.75,48731,54098,10039,0.892112365836633,"1"
"24","2015-Q3","LGA-124.229","LaGuardia Airport - Watch Engineer's Office Relocation",2015-08-27,"Public",1650000,1898000,0.15030303,"FAIL",4,"NY",3,"Avi","Z","Infra",261.0556,274.7305,344.0031,1688.223,2173.735,551.078,1201.195,1205.824,340.1158,1430.029,192.6279,869.6093,327.1491,401.3416,34128.02,9779.01,57138.81,30235.59,16123.1,30775.95,171768.7,20121.99,15984.1,55007.1,59622.75,13924.58,23219.02,259925.5,251342.2,312354.9,72445.11,75748.3,8825.927,2173.735,365181.6,18384.75,48731,54098,10039,0.869336143308746,"4"
"25","2015-Q3","EWR-924.320","Newark Liberty International Airport-Terminal 'C' Level 1 Drainage Improvements",2015-09-09,"Other",325000,377777,0.162390769,"FAIL",6,"NJ",3,"Avi","Z","Building",261.0556,274.7305,344.0031,1688.223,2173.735,551.078,1201.195,1205.824,340.1158,1430.029,192.6279,869.6093,327.1491,401.3416,34128.02,9779.01,57138.81,30235.59,16123.1,30775.95,171768.7,20121.99,15984.1,55007.1,59622.75,13924.58,23219.02,259925.5,251342.2,312354.9,72445.11,75748.3,8825.927,2173.735,365181.6,18384.75,48731,54098,10039,0.860295888844477,"1"
"26","2015-Q3","LGA-124.226","LaGuardia Airport-Hanger 7 South Build Out",2015-09-21,"Public",7900000,6769800,-0.143063291,"GOOD",18,"NY",3,"Avi","Z","Building",261.0556,274.7305,344.0031,1688.223,2173.735,551.078,1201.195,1205.824,340.1158,1430.029,192.6279,869.6093,327.1491,401.3416,34128.02,9779.01,57138.81,30235.59,16123.1,30775.95,171768.7,20121.99,15984.1,55007.1,59622.75,13924.58,23219.02,259925.5,251342.2,312354.9,72445.11,75748.3,8825.927,2173.735,365181.6,18384.75,48731,54098,10039,1.16694732488404,"8"
"27","2015-Q3","PN-654.036","Port Newark-Water System Rehabilitation At Central And South Sections",2015-09-30,"Public",7e+06,5851111,-0.164127,"GOOD",15,"NJ",3,"Ports","Z","Infra",261.0556,274.7305,344.0031,1688.223,2173.735,551.078,1201.195,1205.824,340.1158,1430.029,192.6279,869.6093,327.1491,401.3416,34128.02,9779.01,57138.81,30235.59,16123.1,30775.95,171768.7,20121.99,15984.1,55007.1,59622.75,13924.58,23219.02,259925.5,251342.2,312354.9,72445.11,75748.3,8825.927,2173.735,365181.6,18384.75,48731,54098,10039,1.19635399157528,"7"
"28","2015-Q4","GWB-244.256","George Washington Bridge-Pavement Rehabilitation of the Lower Level eastbound Approch Roadways, Lower Level Eastbound Bridge Span and Lower Expressway East Ramp",2015-10-07,"Other",7400000,4985882.5,-0.326232095,"FAIL",4,"Both",4,"TB&T","Z","Paving",261.5219,274.8469,349.937,1707.532,2185.492,553.2074,1200.284,1216.385,340.5725,1439.297,192.9873,866.8924,327.9078,400.6656,34602.5,9762.473,53383.68,30184.85,16179.16,30790.32,167755.8,20051.21,15069.69,55249.84,59122.23,13659.83,23101.44,258601.9,250176,310811.6,71935.7,76297.16,8870.516,2185.492,359764.3,18390.39,48467,48731,10092,1.48419061219353,"7"
"29","2015-Q4","EWR-154.184","Newark Liberty International Airport-Central Heating & Refirgeration Plant Substation and Pumps Upgrade",2015-10-15,"Public",3650000,3270000,-0.104109589,"GOOD",6,"NJ",4,"Avi","Z","Infra",261.5219,274.8469,349.937,1707.532,2185.492,553.2074,1200.284,1216.385,340.5725,1439.297,192.9873,866.8924,327.9078,400.6656,34602.5,9762.473,53383.68,30184.85,16179.16,30790.32,167755.8,20051.21,15069.69,55249.84,59122.23,13659.83,23101.44,258601.9,250176,310811.6,71935.7,76297.16,8870.516,2185.492,359764.3,18390.39,48467,48731,10092,1.11620795107034,"6"
"30","2015-Q4","GWB-924.092","George Washington Bridge-Improvements to Bruce Reynolds Boulevard",2015-10-20,"Public",1290000,1552600,0.203565891,"FAIL",9,"NJ",4,"TB&T","Z","Paving",261.5219,274.8469,349.937,1707.532,2185.492,553.2074,1200.284,1216.385,340.5725,1439.297,192.9873,866.8924,327.9078,400.6656,34602.5,9762.473,53383.68,30184.85,16179.16,30790.32,167755.8,20051.21,15069.69,55249.84,59122.23,13659.83,23101.44,258601.9,250176,310811.6,71935.7,76297.16,8870.516,2185.492,359764.3,18390.39,48467,48731,10092,0.830864356563184,"4"
"31","2015-Q4","GWB-566","George Washington Bridge-Temporary Semac Relocation",2015-10-27,"Public",1340000,1850000,0.380597015,"FAIL",4,"NJ",4,"TB&T","Z","Infra",261.5219,274.8469,349.937,1707.532,2185.492,553.2074,1200.284,1216.385,340.5725,1439.297,192.9873,866.8924,327.9078,400.6656,34602.5,9762.473,53383.68,30184.85,16179.16,30790.32,167755.8,20051.21,15069.69,55249.84,59122.23,13659.83,23101.44,258601.9,250176,310811.6,71935.7,76297.16,8870.516,2185.492,359764.3,18390.39,48467,48731,10092,0.724324324324324,"4"
"32","2015-Q4","HT-224.116","Holland Tunnel-Concrete Repairs at Air Supply Ports",2015-10-30,"Public",7100000,6676400,-0.059661972,"GOOD",11,"Both",4,"TB&T","Z","Infra",261.5219,274.8469,349.937,1707.532,2185.492,553.2074,1200.284,1216.385,340.5725,1439.297,192.9873,866.8924,327.9078,400.6656,34602.5,9762.473,53383.68,30184.85,16179.16,30790.32,167755.8,20051.21,15069.69,55249.84,59122.23,13659.83,23101.44,258601.9,250176,310811.6,71935.7,76297.16,8870.516,2185.492,359764.3,18390.39,48467,48731,10092,1.06344736684441,"8"
"33","2015-Q4","MFA-924.283","Newark Liberty International Airport and Teterboro Airport  Asphalt Concrete Pavement Repairs Via Work Order",2015-11-02,"Other",7055100,5774440,-0.181522586,"FAIL",3,"NJ",4,"Avi","Z","Paving",261.5219,274.8469,349.937,1707.532,2185.492,553.2074,1200.284,1216.385,340.5725,1439.297,192.9873,866.8924,327.9078,400.6656,34602.5,9762.473,53383.68,30184.85,16179.16,30790.32,167755.8,20051.21,15069.69,55249.84,59122.23,13659.83,23101.44,258601.9,250176,310811.6,71935.7,76297.16,8870.516,2185.492,359764.3,18390.39,48467,48731,10092,1.22178081337757,"7"
"34","2015-Q4","GWB-564","George Washington Bridge-Facility Wide Prioirty Rehabilitation",2015-11-04,"Public",8700000,10162935,0.168153448,"FAIL",3,"Both",4,"TB&T","Z","Infra",261.5219,274.8469,349.937,1707.532,2185.492,553.2074,1200.284,1216.385,340.5725,1439.297,192.9873,866.8924,327.9078,400.6656,34602.5,9762.473,53383.68,30184.85,16179.16,30790.32,167755.8,20051.21,15069.69,55249.84,59122.23,13659.83,23101.44,258601.9,250176,310811.6,71935.7,76297.16,8870.516,2185.492,359764.3,18390.39,48467,48731,10092,0.85605191807288,"8"
"35","2015-Q4","TP-104.006","Backflow Prevention Devices",2015-11-30,"Public",1200000,1222222,0.018518333,"GOOD",6,"NY",4,"Avi","Z","Infra",261.5219,274.8469,349.937,1707.532,2185.492,553.2074,1200.284,1216.385,340.5725,1439.297,192.9873,866.8924,327.9078,400.6656,34602.5,9762.473,53383.68,30184.85,16179.16,30790.32,167755.8,20051.21,15069.69,55249.84,59122.23,13659.83,23101.44,258601.9,250176,310811.6,71935.7,76297.16,8870.516,2185.492,359764.3,18390.39,48467,48731,10092,0.981818360330611,"3"
"36","2015-Q4","AK-195","Staten Island Bridges - Maint Pvmt Repairs via WO",2015-12-04,"Other",2e+06,2092850,0.046425,"GOOD",4,"NY",4,"TB&T","Z","Paving",261.5219,274.8469,349.937,1707.532,2185.492,553.2074,1200.284,1216.385,340.5725,1439.297,192.9873,866.8924,327.9078,400.6656,34602.5,9762.473,53383.68,30184.85,16179.16,30790.32,167755.8,20051.21,15069.69,55249.84,59122.23,13659.83,23101.44,258601.9,250176,310811.6,71935.7,76297.16,8870.516,2185.492,359764.3,18390.39,48467,48731,10092,0.95563466086915,"5"
"37","2016-Q1","PN-654.041","Port Newark - Davit Street Extension",2016-01-14,"Other",1200000,1050050,-0.124958333,"GOOD",6,"NJ",1,"Ports","Z","Paving",261.0797,274.2445,355.4697,1720.847,2196.853,553.9073,1202.96,1221.852,341.4254,1448.712,194.234,868.7178,330.6291,400.284,35597.36,10066.59,57464.39,30287.6,16401.32,31439.77,172218.1,20143.12,16242.6,55410.79,59342.93,13614.16,22480.46,264878.3,256109.2,316274.6,72401.41,77987.95,8913.283,2196.853,367091.6,18395.59,43463,48467,10181,1.14280272367982,"2"
"38","2016-Q1","WTC-222.004","WTC - Tower One Public Safety Radio Room",2016-01-19,"Other",9e+06,8936000,-0.007111111,"GOOD",3,"NY",1,"Sec","Z","Building",261.0797,274.2445,355.4697,1720.847,2196.853,553.9073,1202.96,1221.852,341.4254,1448.712,194.234,868.7178,330.6291,400.284,35597.36,10066.59,57464.39,30287.6,16401.32,31439.77,172218.1,20143.12,16242.6,55410.79,59342.93,13614.16,22480.46,264878.3,256109.2,316274.6,72401.41,77987.95,8913.283,2196.853,367091.6,18395.59,43463,48467,10181,1.00716204118174,"8"
"39","2016-Q1","PN-654.544","Port Newark - Install Intelligent Transport Devices and Traffic Signals",2016-01-20,"Public",1e+07,6499990,-0.350001,"FAIL",6,"NJ",1,"Ports","Z","Infra",261.0797,274.2445,355.4697,1720.847,2196.853,553.9073,1202.96,1221.852,341.4254,1448.712,194.234,868.7178,330.6291,400.284,35597.36,10066.59,57464.39,30287.6,16401.32,31439.77,172218.1,20143.12,16242.6,55410.79,59342.93,13614.16,22480.46,264878.3,256109.2,316274.6,72401.41,77987.95,8913.283,2196.853,367091.6,18395.59,43463,48467,10181,1.53846390532909,"8"
"40","2016-Q1","PAT-774.154","PATH - Hoboken Station Under-Platform Fan Replacement",2016-01-22,"Public",4574000,3774000,-0.174901618,"GOOD",4,"NJ",1,"PATH","Z","Infra",261.0797,274.2445,355.4697,1720.847,2196.853,553.9073,1202.96,1221.852,341.4254,1448.712,194.234,868.7178,330.6291,400.284,35597.36,10066.59,57464.39,30287.6,16401.32,31439.77,172218.1,20143.12,16242.6,55410.79,59342.93,13614.16,22480.46,264878.3,256109.2,316274.6,72401.41,77987.95,8913.283,2196.853,367091.6,18395.59,43463,48467,10181,1.21197668256492,"6"
"41","2016-Q1","LGA-103.014","LGA - Pump Houses 2 and 3 Rehabilitation",2016-01-25,"Public",2530000,1836000,-0.2743083,"GOOD",7,"NY",1,"Avi","Z","Infra",261.0797,274.2445,355.4697,1720.847,2196.853,553.9073,1202.96,1221.852,341.4254,1448.712,194.234,868.7178,330.6291,400.284,35597.36,10066.59,57464.39,30287.6,16401.32,31439.77,172218.1,20143.12,16242.6,55410.79,59342.93,13614.16,22480.46,264878.3,256109.2,316274.6,72401.41,77987.95,8913.283,2196.853,367091.6,18395.59,43463,48467,10181,1.37799564270152,"4"
"42","2016-Q1","LGA-124.240","LGA - Rehab Taxiway B between G and CY",2016-02-04,"Public",4072000,2733000,-0.328831041,"FAIL",3,"NY",1,"Avi","Z","Paving",261.0797,274.2445,355.4697,1720.847,2196.853,553.9073,1202.96,1221.852,341.4254,1448.712,194.234,868.7178,330.6291,400.284,35597.36,10066.59,57464.39,30287.6,16401.32,31439.77,172218.1,20143.12,16242.6,55410.79,59342.93,13614.16,22480.46,264878.3,256109.2,316274.6,72401.41,77987.95,8913.283,2196.853,367091.6,18395.59,43463,48467,10181,1.48993779729235,"6"
"43","2016-Q1","GWB-244.150","GWB - Replacement of PIP Helix, et. al.",2016-02-11,"Public",69865000,5.7e+07,-0.184140843,"GOOD",11,"NJ",1,"TB&T","Z","Infra",261.0797,274.2445,355.4697,1720.847,2196.853,553.9073,1202.96,1221.852,341.4254,1448.712,194.234,868.7178,330.6291,400.284,35597.36,10066.59,57464.39,30287.6,16401.32,31439.77,172218.1,20143.12,16242.6,55410.79,59342.93,13614.16,22480.46,264878.3,256109.2,316274.6,72401.41,77987.95,8913.283,2196.853,367091.6,18395.59,43463,48467,10181,1.22570175438596,"10"
